"id","time","I"
230,7.13047681384086,37
230,7.16578914757717,38
230,7.17982454323345,39
230,7.28316382776477,40
230,7.41557571977209,41
230,7.6793379870393,42
230,7.83237284887319,43
230,8.0021430259888,44
230,8.10951395801438,45
230,8.16680368041065,46
230,8.27648852135443,47
230,8.47868094868364,48
230,8.48634624531209,49
230,8.49421602062753,50
230,8.6785853488472,51
230,8.96919799394259,52
230,9.03274260706374,53
230,9.08716947607473,54
230,9.69358750201418,55
231,0,1
231,4.69484211882926,2
231,4.9266065235426,3
231,5.38285822393501,4
231,6.24612220510726,5
231,6.39150793408691,6
231,6.89462364359747,7
231,7.31123979397527,8
231,7.48398928034242,9
231,7.65637044778247,10
231,7.87371388454998,11
231,8.02166384262842,12
231,8.02696773190107,13
231,8.21422923174754,14
231,8.83131421987195,15
231,8.90910111086878,16
231,8.96682896074173,17
231,9.5237014763208,18
232,0,1
232,0.828463939665738,2
232,0.902427423555172,3
232,1.21962571131617,4
232,1.50538688373373,5
232,2.82476158403895,6
232,2.95615885308427,7
232,3.03968605916352,8
232,3.17774981815131,9
232,3.49736260450894,10
232,3.70965266288319,11
232,3.85174034504559,12
232,4.08259648137534,13
232,4.36587449798538,14
232,4.66522625091999,15
232,4.70847377404648,16
232,4.81838855796402,17
232,4.95095609013421,18
232,5.04149787378055,19
232,5.18692055739395,20
232,5.1983389857819,21
232,5.26088821476997,22
232,5.63482280919385,23
232,5.97016795774353,24
232,6.00068178638971,25
232,6.03302277420614,26
232,6.09920172514239,27
232,6.17155896497747,28
232,6.22430529882041,29
232,6.4077654276741,30
232,6.43789166753018,31
232,6.49101926196738,32
232,6.93627929063231,33
232,7.22129571258403,34
232,7.3234690317724,35
232,7.38145377012232,36
232,7.38877864610829,37
232,7.46124476655609,38
232,7.80031098975711,39
232,7.98273920413614,40
232,8.02003921565937,41
232,8.03522679460228,42
232,8.23215497103319,43
232,8.27589009550744,44
232,8.31872116978984,45
232,8.58092362209215,46
232,8.81180406417711,47
232,9.00240527750865,48
232,9.07013860796675,49
232,9.10871648329306,50
232,9.98285776881113,51
233,0,1
233,5.06292170740414,2
233,5.28093595285807,3
233,6.34015910745688,4
